3D Contour Integration Errors
Generated on: 2025-03-21 23:11:22
        Beta       N_poles         Error
1.600000e+01  5.300000e+01  3.765831e-09
1.600000e+01  5.400000e+01  3.771036e-09
1.600000e+01  5.500000e+01  3.807046e-09
1.600000e+01  5.600000e+01  3.770199e-09
1.600000e+01  5.700000e+01  3.758767e-09
1.600000e+01  5.800000e+01  3.804471e-09
1.600000e+01  5.900000e+01  3.777359e-09
1.600000e+01  6.000000e+01  3.750643e-09
3.200000e+01  1.000000e+00  1.540768e+00
3.200000e+01  2.000000e+00  9.036469e-01
3.200000e+01  3.000000e+00  4.493346e-01
3.200000e+01  4.000000e+00  2.478090e-01
3.200000e+01  5.000000e+00  1.264248e-01
3.200000e+01  6.000000e+00  6.175135e-02
3.200000e+01  7.000000e+00  3.046717e-02
3.200000e+01  8.000000e+00  1.585861e-02
3.200000e+01  9.000000e+00  7.184558e-03
3.200000e+01  1.000000e+01  4.196578e-03
3.200000e+01  1.100000e+01  1.834683e-03
3.200000e+01  1.200000e+01  9.682831e-04
3.200000e+01  1.300000e+01  4.627644e-04
3.200000e+01  1.400000e+01  2.327018e-04
3.200000e+01  1.500000e+01  1.112137e-04
3.200000e+01  1.600000e+01  5.938182e-05
3.200000e+01  1.700000e+01  2.659666e-05
3.200000e+01  1.800000e+01  1.457747e-05
3.200000e+01  1.900000e+01  6.633308e-06
3.200000e+01  2.000000e+01  3.685005e-06
3.200000e+01  2.100000e+01  1.552198e-06
3.200000e+01  2.200000e+01  9.044405e-07
3.200000e+01  2.300000e+01  3.930692e-07
3.200000e+01  2.400000e+01  2.122474e-07
3.200000e+01  2.500000e+01  1.041269e-07
3.200000e+01  2.600000e+01  4.732519e-08
3.200000e+01  2.700000e+01  2.632749e-08
3.200000e+01  2.800000e+01  1.172693e-08
3.200000e+01  2.900000e+01  6.954119e-09
3.200000e+01  3.000000e+01  3.768695e-09
3.200000e+01  3.100000e+01  2.525319e-09
3.200000e+01  3.200000e+01  2.492283e-09
3.200000e+01  3.300000e+01  2.364290e-09
